,Tweets,id,date,likes,retweets,place
10,هذه المرة ستكون رحلتنا بإذن الله الى وجهة غير معتادة في زمن وما بعد انحسار هذه الجائحة .. . تابعونا في تغطية الى ولاية وكذلك .. وجهات طويلة لنتعرف اكثر عن الأجواء هناك.. . دعواتكم.. ,1400300646474162179,2021-06-03 03:57:45,5,4,"Place(_api=<tweepy.api.API object at 0x7f061219e7f0>, id='001907e868d06e24', url='https://api.twitter.com/1.1/geo/id/001907e868d06e24.json', place_type='admin', name='Dubai', full_name='Dubai, United Arab Emirates', country_code='AE', country='United Arab Emirates', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7f061219e7f0>, type='Polygon', coordinates=[[[54.8939725, 24.6182526], [56.2083722, 24.6182526], [56.2083722, 25.3686719], [54.8939725, 25.3686719]]]), attributes={})"
11,نقل مصاب بـ «كورونا» جواً إلى مستشفى الرحبة  ,1400222722806796290,2021-06-02 22:48:06,2,0,"Place(_api=<tweepy.api.API object at 0x7f061219e7f0>, id='001907e868d06e24', url='https://api.twitter.com/1.1/geo/id/001907e868d06e24.json', place_type='admin', name='Dubai', full_name='Dubai, United Arab Emirates', country_code='AE', country='United Arab Emirates', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7f061219e7f0>, type='Polygon', coordinates=[[[54.8939725, 24.6182526], [56.2083722, 24.6182526], [56.2083722, 25.3686719], [54.8939725, 25.3686719]]]), attributes={})"
12,الإمارات تتجاوز حاجز 13 مليون جرعة من لقاح «كورونا»  ,1400215666821529600,2021-06-02 22:20:04,0,0,"Place(_api=<tweepy.api.API object at 0x7f061219e7f0>, id='001907e868d06e24', url='https://api.twitter.com/1.1/geo/id/001907e868d06e24.json', place_type='admin', name='Dubai', full_name='Dubai, United Arab Emirates', country_code='AE', country='United Arab Emirates', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7f061219e7f0>, type='Polygon', coordinates=[[[54.8939725, 24.6182526], [56.2083722, 24.6182526], [56.2083722, 25.3686719], [54.8939725, 25.3686719]]]), attributes={})"
13,«معسكر الفقر»يستقبل الملايين.. برعاية «كورونا»  ,1400201090142916609,2021-06-02 21:22:09,0,0,"Place(_api=<tweepy.api.API object at 0x7f061219e7f0>, id='001907e868d06e24', url='https://api.twitter.com/1.1/geo/id/001907e868d06e24.json', place_type='admin', name='Dubai', full_name='Dubai, United Arab Emirates', country_code='AE', country='United Arab Emirates', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7f061219e7f0>, type='Polygon', coordinates=[[[54.8939725, 24.6182526], [56.2083722, 24.6182526], [56.2083722, 25.3686719], [54.8939725, 25.3686719]]]), attributes={})"
14,إصابات كورونا في لبنان تقترب من 541 ألفاً  ,1400193285151358976,2021-06-02 20:51:08,0,0,"Place(_api=<tweepy.api.API object at 0x7f061219e7f0>, id='001907e868d06e24', url='https://api.twitter.com/1.1/geo/id/001907e868d06e24.json', place_type='admin', name='Dubai', full_name='Dubai, United Arab Emirates', country_code='AE', country='United Arab Emirates', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7f061219e7f0>, type='Polygon', coordinates=[[[54.8939725, 24.6182526], [56.2083722, 24.6182526], [56.2083722, 25.3686719], [54.8939725, 25.3686719]]]), attributes={})"
15,الكويت تسجل 1345 إصابة جديدة و4 وفيات بـ”كورونا”  ,1400191265577209859,2021-06-02 20:43:06,2,1,"Place(_api=<tweepy.api.API object at 0x7f061219e7f0>, id='001907e868d06e24', url='https://api.twitter.com/1.1/geo/id/001907e868d06e24.json', place_type='admin', name='Dubai', full_name='Dubai, United Arab Emirates', country_code='AE', country='United Arab Emirates', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7f061219e7f0>, type='Polygon', coordinates=[[[54.8939725, 24.6182526], [56.2083722, 24.6182526], [56.2083722, 25.3686719], [54.8939725, 25.3686719]]]), attributes={})"
16,«الأعراس الصغيرة» تزدهر في ظلّ جائحة «كورونا»  ,1400191256198750211,2021-06-02 20:43:04,0,0,"Place(_api=<tweepy.api.API object at 0x7f061219e7f0>, id='001907e868d06e24', url='https://api.twitter.com/1.1/geo/id/001907e868d06e24.json', place_type='admin', name='Dubai', full_name='Dubai, United Arab Emirates', country_code='AE', country='United Arab Emirates', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7f061219e7f0>, type='Polygon', coordinates=[[[54.8939725, 24.6182526], [56.2083722, 24.6182526], [56.2083722, 25.3686719], [54.8939725, 25.3686719]]]), attributes={})"
17,برلين تعتزم تمديد طوارئ جائحة كورونا  ,1400183964027867138,2021-06-02 20:14:05,1,0,"Place(_api=<tweepy.api.API object at 0x7f061219e7f0>, id='001907e868d06e24', url='https://api.twitter.com/1.1/geo/id/001907e868d06e24.json', place_type='admin', name='Dubai', full_name='Dubai, United Arab Emirates', country_code='AE', country='United Arab Emirates', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7f061219e7f0>, type='Polygon', coordinates=[[[54.8939725, 24.6182526], [56.2083722, 24.6182526], [56.2083722, 25.3686719], [54.8939725, 25.3686719]]]), attributes={})"
18,الهاجري: مجرمون إلكترونيون استهدفوا قطاعات حيوية خلال جائحة «كورونا»  ,1400183345556819969,2021-06-02 20:11:38,0,0,"Place(_api=<tweepy.api.API object at 0x7f061219e7f0>, id='001907e868d06e24', url='https://api.twitter.com/1.1/geo/id/001907e868d06e24.json', place_type='admin', name='Dubai', full_name='Dubai, United Arab Emirates', country_code='AE', country='United Arab Emirates', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7f061219e7f0>, type='Polygon', coordinates=[[[54.8939725, 24.6182526], [56.2083722, 24.6182526], [56.2083722, 25.3686719], [54.8939725, 25.3686719]]]), attributes={})"
19,النرويج تعتزم التبرع بمليون جرعة من لقاحات كورونا  ,1400167891199152130,2021-06-02 19:10:13,0,0,"Place(_api=<tweepy.api.API object at 0x7f061219e7f0>, id='001907e868d06e24', url='https://api.twitter.com/1.1/geo/id/001907e868d06e24.json', place_type='admin', name='Dubai', full_name='Dubai, United Arab Emirates', country_code='AE', country='United Arab Emirates', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7f061219e7f0>, type='Polygon', coordinates=[[[54.8939725, 24.6182526], [56.2083722, 24.6182526], [56.2083722, 25.3686719], [54.8939725, 25.3686719]]]), attributes={})"
