,Tweets,id,date,likes,retweets,place
10,New rules ... again ,1369518841743704067,2021-03-10 05:21:50,1,0,"Place(_api=<tweepy.api.API object at 0x7fb7b2c28cd0>, id='001907e868d06e24', url='https://api.twitter.com/1.1/geo/id/001907e868d06e24.json', place_type='admin', name='Dubai', full_name='Dubai, United Arab Emirates', country_code='AE', country='United Arab Emirates', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7fb7b2c28cd0>, type='Polygon', coordinates=[[[54.8939725, 24.6182526], [56.2083722, 24.6182526], [56.2083722, 25.3686719], [54.8939725, 25.3686719]]]), attributes={})"
11,Adios Piers Morgan. Nobody in Britain has done more to whip up a climate of fear over Covid. Your departure is richly deserved.,1369382561953243138,2021-03-09 20:20:19,2,0,"Place(_api=<tweepy.api.API object at 0x7fb7b2c28cd0>, id='001907e868d06e24', url='https://api.twitter.com/1.1/geo/id/001907e868d06e24.json', place_type='admin', name='Dubai', full_name='Dubai, United Arab Emirates', country_code='AE', country='United Arab Emirates', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7fb7b2c28cd0>, type='Polygon', coordinates=[[[54.8939725, 24.6182526], [56.2083722, 24.6182526], [56.2083722, 25.3686719], [54.8939725, 25.3686719]]]), attributes={})"
12,Very grateful to live in the . I Would like to express my gratitude to and to everyone who made COVID vaccine   available to expats like myself in very short period of time. U are saving lives. Thank you ,1369333093983748099,2021-03-09 17:03:45,11,0,"Place(_api=<tweepy.api.API object at 0x7fb7b2c28cd0>, id='10340721c1946000', url='https://api.twitter.com/1.1/geo/id/10340721c1946000.json', place_type='poi', name='Dubai World Trade Centre / مركز دبي التجاري العالمي', full_name='Dubai World Trade Centre / مركز دبي التجاري العالمي', country_code='AE', country='United Arab Emirates', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7fb7b2c28cd0>, type='Polygon', coordinates=[[[55.28760967230806, 25.224141224370392], [55.28760967230806, 25.224141224370392], [55.28760967230806, 25.224141224370392], [55.28760967230806, 25.224141224370392]]]), attributes={})"
13,"Waiting for COVID test results. @ Dubai, United Arab Emirates ",1369289828148330499,2021-03-09 14:11:49,0,0,"Place(_api=<tweepy.api.API object at 0x7fb7b2c28cd0>, id='001907e868d06e24', url='https://api.twitter.com/1.1/geo/id/001907e868d06e24.json', place_type='admin', name='Dubai', full_name='Dubai, United Arab Emirates', country_code='AE', country='United Arab Emirates', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7fb7b2c28cd0>, type='Polygon', coordinates=[[[54.8939725, 24.6182526], [56.2083722, 24.6182526], [56.2083722, 25.3686719], [54.8939725, 25.3686719]]]), attributes={})"
14,"Waiting for COVID test results. @ Dubai, United Arab Emirates ",1369288792159358984,2021-03-09 14:07:42,0,0,"Place(_api=<tweepy.api.API object at 0x7fb7b2c28cd0>, id='001907e868d06e24', url='https://api.twitter.com/1.1/geo/id/001907e868d06e24.json', place_type='admin', name='Dubai', full_name='Dubai, United Arab Emirates', country_code='AE', country='United Arab Emirates', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7fb7b2c28cd0>, type='Polygon', coordinates=[[[54.8939725, 24.6182526], [56.2083722, 24.6182526], [56.2083722, 25.3686719], [54.8939725, 25.3686719]]]), attributes={})"
15,Yes...we are very lucky to live in UAE. ,1369282983761502229,2021-03-09 13:44:38,4,0,"Place(_api=<tweepy.api.API object at 0x7fb7b2c28cd0>, id='01a4aba930967a19', url='https://api.twitter.com/1.1/geo/id/01a4aba930967a19.json', place_type='admin', name='Ajman', full_name='Ajman, United Arab Emirates', country_code='AE', country='United Arab Emirates', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7fb7b2c28cd0>, type='Polygon', coordinates=[[[55.4228459, 24.7422387], [56.1015028, 24.7422387], [56.1015028, 25.4513274], [55.4228459, 25.4513274]]]), attributes={})"
16,Air purification with HEPA filtration for your comfort and safety. ,1369250401543917571,2021-03-09 11:35:09,1,0,"Place(_api=<tweepy.api.API object at 0x7fb7b2c28cd0>, id='001907e868d06e24', url='https://api.twitter.com/1.1/geo/id/001907e868d06e24.json', place_type='admin', name='Dubai', full_name='Dubai, United Arab Emirates', country_code='AE', country='United Arab Emirates', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7fb7b2c28cd0>, type='Polygon', coordinates=[[[54.8939725, 24.6182526], [56.2083722, 24.6182526], [56.2083722, 25.3686719], [54.8939725, 25.3686719]]]), attributes={})"
17,My first dose of the COVID-19 vaccine...DONE  Big thanks to the UAE government  ,1369243139278573571,2021-03-09 11:06:18,1,1,"Place(_api=<tweepy.api.API object at 0x7fb7b2c28cd0>, id='001907e868d06e24', url='https://api.twitter.com/1.1/geo/id/001907e868d06e24.json', place_type='admin', name='Dubai', full_name='Dubai, United Arab Emirates', country_code='AE', country='United Arab Emirates', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7fb7b2c28cd0>, type='Polygon', coordinates=[[[54.8939725, 24.6182526], [56.2083722, 24.6182526], [56.2083722, 25.3686719], [54.8939725, 25.3686719]]]), attributes={})"
18,Airport staff should be prioritised for Covid-19 vaccination – Gen Katumba | Daily Monitor ,1369236312184733696,2021-03-09 10:39:10,0,0,"Place(_api=<tweepy.api.API object at 0x7fb7b2c28cd0>, id='001907e868d06e24', url='https://api.twitter.com/1.1/geo/id/001907e868d06e24.json', place_type='admin', name='Dubai', full_name='Dubai, United Arab Emirates', country_code='AE', country='United Arab Emirates', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7fb7b2c28cd0>, type='Polygon', coordinates=[[[54.8939725, 24.6182526], [56.2083722, 24.6182526], [56.2083722, 25.3686719], [54.8939725, 25.3686719]]]), attributes={})"
19,Thank you po REQUEST SB19 WHAT TODAY SB19 TULOY ANG COMEBACK ,1369227965100298243,2021-03-09 10:06:00,15,18,"Place(_api=<tweepy.api.API object at 0x7fb7b2c28cd0>, id='001907e868d06e24', url='https://api.twitter.com/1.1/geo/id/001907e868d06e24.json', place_type='admin', name='Dubai', full_name='Dubai, United Arab Emirates', country_code='AE', country='United Arab Emirates', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7fb7b2c28cd0>, type='Polygon', coordinates=[[[54.8939725, 24.6182526], [56.2083722, 24.6182526], [56.2083722, 25.3686719], [54.8939725, 25.3686719]]]), attributes={})"
20,"Hurray up and marry Jacinda please..the world needs a ' Kiwi Royal Wedding', post covid of course, to brighten things up..next 12 months please ..",1369205851655901189,2021-03-09 08:38:08,2,0,"Place(_api=<tweepy.api.API object at 0x7fb7b2c28cd0>, id='001907e868d06e24', url='https://api.twitter.com/1.1/geo/id/001907e868d06e24.json', place_type='admin', name='Dubai', full_name='Dubai, United Arab Emirates', country_code='AE', country='United Arab Emirates', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7fb7b2c28cd0>, type='Polygon', coordinates=[[[54.8939725, 24.6182526], [56.2083722, 24.6182526], [56.2083722, 25.3686719], [54.8939725, 25.3686719]]]), attributes={})"
21,"Been feeling sick for the last 3 days, fever, sore throat ; i was so worried. Did my covid test yesterday and now i just got the result. Thank you lord ",1369204606841028609,2021-03-09 08:33:11,5,0,"Place(_api=<tweepy.api.API object at 0x7fb7b2c28cd0>, id='00f24ae701a1207b', url='https://api.twitter.com/1.1/geo/id/00f24ae701a1207b.json', place_type='admin', name='Abu Dhabi', full_name='Abu Dhabi, United Arab Emirates', country_code='AE', country='United Arab Emirates', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7fb7b2c28cd0>, type='Polygon', coordinates=[[[51.2938738, 22.6261387], [56.0175464, 22.6261387], [56.0175464, 25.1639588], [51.2938738, 25.1639588]]]), attributes={})"
22,I’m off to the Dundalk Gaeltacht for the summer (COVID permitting) ,1369172110707486723,2021-03-09 06:24:03,1,0,"Place(_api=<tweepy.api.API object at 0x7fb7b2c28cd0>, id='001907e868d06e24', url='https://api.twitter.com/1.1/geo/id/001907e868d06e24.json', place_type='admin', name='Dubai', full_name='Dubai, United Arab Emirates', country_code='AE', country='United Arab Emirates', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7fb7b2c28cd0>, type='Polygon', coordinates=[[[54.8939725, 24.6182526], [56.2083722, 24.6182526], [56.2083722, 25.3686719], [54.8939725, 25.3686719]]]), attributes={})"
